Main Folder,Sub Folder,File Type,Accuracy F1-Score
fv_dorsal,_99,classification_results_test.xlsx,0.7000
fv_dorsasl_mixed,_1,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_10,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_100,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_11,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_12,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_13,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_14,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_15,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_16,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_17,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_18,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_19,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_2,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_20,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_21,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_22,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_23,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_24,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_25,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_26,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_27,classification_results_test.xlsx,0.3500
fv_dorsasl_mixed,_28,classification_results_test.xlsx,0.6500
fv_dorsasl_mixed,_29,classification_results_test.xlsx,0.5250
fv_dorsasl_mixed,_3,classification_results_test.xlsx,0.4250
fv_dorsasl_mixed,_30,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_31,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_32,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_33,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_34,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_35,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_36,classification_results_test.xlsx,0.5500
fv_dorsasl_mixed,_37,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_38,classification_results_test.xlsx,0.5000
fv_dorsasl_mixed,_39,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_4,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_40,classification_results_test.xlsx,0.5750
fv_dorsasl_mixed,_41,classification_results_test.xlsx,0.4750
fv_dorsasl_mixed,_42,classification_results_test.xlsx,0.4500
fv_dorsasl_mixed,_43,classification_results_test.xlsx,0.6000
fv_dorsasl_mixed,_44,classification_results_test.xlsx,0.4500
