image_path,area,perimeter,eccentricity,solidity,extent,major_axis_length,minor_axis_length
ventral/south_ventral/fv_ba_76_v_resized.jpg,3337.0,255.03657992645924,0.9032521056391987,0.9480113636363636,0.7566893424036281,100,42.84774517980266
ventral/south_ventral/fv_pa_105_v_resized.jpg,4065.0,266.16652224137044,0.8545590997157272,0.9589525831564049,0.7603815937149271,100,51.90381134088403
ventral/south_ventral/fv_pa_43_v_resized.jpg,3238.0,245.6812408671319,0.9100732609831541,0.9562906083874778,0.7763126348597459,100,41.415252613444814
ventral/south_ventral/fv_pa_51_v_resized.jpg,3924.0,261.6812408671319,0.865268990581284,0.9636542239685658,0.8008163265306123,100,50.179353591883284
ventral/south_ventral/fv_PuRo__1_v_resized.jpg,3665.0,260.0243866176395,0.8833539527752218,0.9524428274428275,0.7635416666666667,100,46.949798876046714
ventral/south_ventral/fv_PuRo__32_v_resized.jpg,3382.0,245.78174593052023,0.9023472551263005,0.967391304347826,0.8301423662248405,100,43.20105109781213
ventral/south_ventral/fv_ba_89_v_resized.jpg,3721.0,254.50966799187808,0.8782242078857404,0.9614987080103359,0.76705833848691,100,47.81416313298629
ventral/south_ventral/fv_PuRo__16_v_resized.jpg,2899.0,237.78174593052023,0.9280057770840251,0.9647254575707155,0.8301832760595648,100,37.19382947666969
ventral/south_ventral/fv_PuPe__18_v_resized.jpg,3415.0,253.78174593052023,0.8984874950883157,0.9638724244990121,0.8103939250118652,100,43.793715810691765
ventral/south_ventral/fv_pa_112_v_resized.jpg,3428.0,254.02438661763952,0.8993926709225049,0.9420170376477054,0.7604259094942325,100,43.80793434647679
ventral/south_ventral/fv_PuPe__14_v_resized.jpg,3867.0,266.4802307403552,0.8689172649062927,0.9562314540059347,0.7657425742574258,100,49.47515590183095
ventral/south_ventral/fv_pa_36_v_resized.jpg,3224.0,248.50966799187808,0.9117132684802256,0.9615269907545482,0.8224489795918367,100,41.19144188816694
ventral/south_ventral/fv_BaHaMa__9_v_resized.jpg,3847.0,265.75230867899734,0.8699126504835629,0.9557763975155279,0.7851020408163265,100,49.2502836172209
ventral/south_ventral/fv_BaHaMa__5_v_resized.jpg,3681.0,258.2670273047588,0.8823771795001188,0.9553594601609136,0.7665556018325698,100,47.047796560503016
ventral/south_ventral/fv_ba_81_v_resized.jpg,3734.0,259.9238815542512,0.8792409048855044,0.9559651817716334,0.7937925170068028,100,47.73819206579841
ventral/south_ventral/fv_PuRo__36_v_resized.jpg,3459.0,248.0243866176395,0.8976460889991312,0.9581717451523546,0.8006944444444445,100,44.19780880222088
ventral/south_ventral/fv_ba_70_v_resized.jpg,3433.0,249.4386001800126,0.8971326605276859,0.9605484051482932,0.7705948372615039,100,44.036527057227126
ventral/south_ventral/fv_pa_71_v_resized.jpg,4282.0,262.40916292848976,0.8378812124943518,0.9769564225416382,0.809145880574452,100,54.61433978357314
ventral/south_ventral/fv_ThHe__4_v_resized.jpg,3988.0,272.3086578651014,0.8576742920171111,0.9630524028012557,0.7976,100,51.17623739829486
ventral/south_ventral/fv_PuRo__26_v_resized.jpg,4028.0,269.2081528017131,0.8578807187513368,0.9615660062067319,0.7676767676767676,100,51.392254233907195
ventral/south_ventral/fv_pa_87_v_resized.jpg,3632.0,251.6101730552664,0.8848101779809087,0.9664715274081959,0.8320733104238259,100,46.61947077616561
ventral/south_ventral/fv_PuRo__6_v_resized.jpg,3382.0,270.37972567696687,0.9019671820273609,0.9404894327030033,0.7426438296003514,100,43.19817224867984
ventral/south_ventral/fv_ba_97_v_resized.jpg,3209.0,241.78174593052023,0.9117499998867657,0.9584826762246117,0.7958829365079365,100,41.07000854540246
ventral/south_ventral/fv_pb_8_v_resized.jpg,3497.0,261.96551211459376,0.8927239661679373,0.9531207413464159,0.8011454753722795,100,44.93003617776366
ventral/south_ventral/fv_ba_55_v_resized.jpg,3536.0,266.6518036156091,0.8922045986209239,0.9379310344827586,0.7366666666666667,100,45.22303243983778
ventral/south_ventral/fv_lac_16_v_resized.jpg,3037.0,244.95331880577402,0.9211309291547561,0.950547730829421,0.7827319587628866,100,38.905359738466665
ventral/south_ventral/fv_ba_33_v_resized.jpg,3203.0,250.92388155425118,0.913773327128758,0.9473528541851524,0.7626190476190476,100,40.78573551150951
ventral/south_ventral/fv_lac_1_v_resized.jpg,3474.0,255.58073580374355,0.8955266399525584,0.9517808219178082,0.7706299911268856,100,44.508233461443794
ventral/south_ventral/fv_la_1_v_resized.jpg,4030.0,264.58073580374355,0.8539276294776942,0.9643455372098588,0.7989690721649485,100,51.91516561775774
ventral/south_ventral/fv_ba_48_v_resized.jpg,3228.0,241.78174593052023,0.9096360661585252,0.9598572702943801,0.792341678939617,100,41.41463905952407
ventral/south_ventral/fv_pa_64_v_resized.jpg,3550.0,251.68124086713186,0.8909258789695819,0.9644118446074437,0.8132875143184422,100,45.47609401613189
ventral/south_ventral/fv_ba_53_v_resized.jpg,3363.0,252.19595949289334,0.901523600210045,0.9521517553793885,0.7879568884723523,100,43.234052470718844
ventral/south_ventral/fv_ba_14_v_resized.jpg,3121.0,239.78174593052023,0.9183391843548553,0.9668525402726146,0.8043814432989691,100,39.7544823473026
ventral/south_ventral/fv_pa_50_v_resized.jpg,3454.0,261.48023074035524,0.8976336164606424,0.9544072948328267,0.7929292929292929,100,44.100597694703964
ventral/south_ventral/fv_pa_106_v_resized.jpg,2945.0,243.2670273047588,0.9248214799074834,0.9515347334410339,0.7989690721649485,100,37.91367915258132
